Number_of_hits,Total_entries,Percentage_hits,Reagents,Entrez_Gene_ID,Gene,Author_provided_names_IDs
2,31,6.5,3,79582,SPAG16,"ENSG00000144451, NM_024532, PF20, SPAG16"
2,30,6.7,2,128209,KLF17,"ENSG00000171872, FLJ40160, KLF17, NM_173484, ZNF393"
2,9,22.2,1,474383,F8A2,"ENSG00000185990, F8A2"
2,10,20,4,644815,FAM83G,"ENSG00000188522, FAM83G"
2,6,33.3,2,,,"392563, LOC392563"
2,27,7.4,2,51130,ASB3,"ASB3, ENSG00000115239, NM_016115, NM_145863"
2,6,33.3,2,,,"FLJ36576, NM_173522"
2,3,66.7,1,,,LOC100506877
2,15,13.3,2,200058,FLJ23867,"FLJ23867, NM_152662"
2,26,7.7,3,348807,CFAP100,"CCDC37, ENSG00000163885, FLJ40083, NM_182628"
2,29,6.9,2,79870,BAALC,"BAALC, ENSG00000164929, NM_001024372, NM_024812"
2,6,33.3,2,,,"402382, LOC402382"
2,36,5.6,2,5764,PTN,"ENSG00000105894, NM_002825, PTN"
2,7,28.6,1,,,"LOC155006, LOC402281, XM_377947"
2,25,8,2,5670,PSG2,"ENSG00000189329, NM_031246, PSG2"
2,32,6.2,3,126205,NLRP8,"NALP8, NLRP8, NM_176811"
2,4,50,2,,,"646040, LOC646040"
2,3,66.7,1,,,LOC100287178
2,7,28.6,1,387911,C1QTNF9B,"338872, C1QTNF9, LOC387911, RP11-45B20.2"
2,7,28.6,1,,,DKFZp434C1418
2,6,33.3,2,649446,DLGAP1-AS1,FLJ35776
2,29,6.9,2,64318,NOC3L,"C10ORF117, C10orf117, ENSG00000173145, NM_022451, NOC3L"
2,4,50,1,653548,DUX4L3,"DUX4L3, LOC653548"
2,3,66.7,3,654391,RPL31P7,"729005, LOC729005"
2,11,18.2,3,100302652,GPR75-ASB3,"51130, ASB3, NM_016115"
2,4,50,2,100288914,LOC100288914,"728607, LOC728607"
2,35,5.7,2,1015,CDH17,"CDH17, COX5A, ENSG00000079112, NM_004063"
2,9,22.2,2,219437,OR5L1,"ENSG00000186117, OR5L1"
2,3,66.7,1,,,LOC100287205
2,22,9.1,1,282973,JAKMIP3,"C10ORF39, C10orf39, ENSG00000171828, ENSG00000188385, JAKMIP3, NM_194303"
2,37,5.4,1,6328,SCN3A,"ENSG00000153253, NM_006922, NM_006922.3, SCN3A"
2,24,8.3,2,727897,MUC5B,"4587, ENSG00000117983, LPA, MUC5B, XM_039877, XM_113696"
2,27,7.4,1,374768,SPEM1,"C17orf83, ENSG00000181323, LOC374768, NM_199339, SPEM1"
2,3,66.7,1,,,LOC100287144
2,4,50,2,,,"729600, LOC729600"
2,3,66.7,1,280655,IGBP1P1,IGBP1P1
2,9,22.2,2,392617,ELFN1,"346355, ELFN1, LOC346355, LOC392617, XM_001732882, XM_294219, XM_374386"
2,14,14.3,1,148713,PTPRVP,"NR_002930, PTPRV, XM_086287, XM_941020"
2,10,20,3,,,"391767, LOC391767"
2,4,50,2,284116,KRT42P,KRT42P
2,4,50,1,653545,DUX4L5,"DUX4L5, LOC653545"
2,3,66.7,2,,,LOC441119
2,5,40,2,729991,BORCS8,"ENSG00000064489, LOC729991, MEF2B"
2,4,50,2,,,XPNPEP3
2,16,12.5,1,157708,SEC11B,"LOC157708, SEC11B, SEC11L2, XM_088367"
2,7,28.6,2,,,"FLJ13137, LOC400793, XM_378908"
2,23,8.7,1,57477,SHROOM4,"ENSG00000158352, KIAA1202, NM_020717, SHROOM4, XM_050478"
2,3,66.7,1,285819,LOC285819,LOC285819
2,11,18.2,2,401207,C5orf63,"85320, ABCC11, ENSG00000164241, FLJ44606, LOC401207, NM_032583, XM_376423, ensg00000164241"
2,36,5.6,1,4013,VWA5A,"ENSG00000110002, LOH11CR2A, NM_014622, POMC, VWA5A"
2,26,7.7,1,63977,PRDM15,"NM_022115, PRDM15"
2,9,22.2,2,388327,C17orf100,"C17orf100, LOC388327, XM_371009, hCG_1985469"
2,30,6.7,3,9758,FRMPD4,"ENSG00000169933, FRMPD4, NM_014728, PDZK10, XM_045712"
2,19,10.5,2,345611,IRGM,"IRGM, LRG47, XM_293893"
2,11,18.2,1,9560,CCL4L2,"CCL4L, CCL4L1, CCL4L2, ENSG00000129277, ENSG00000187869, ENSG00000197262"
2,24,8.3,2,389015,SLC9A4,"6549, ENSG00000180251, NM_001011552, NM_003048, SLC9A2, SLC9A4"
2,27,7.4,3,390157,OR8K1,"ENSG00000150261, NM_001002907, OR8K1"
2,33,6.1,2,28954,REM1,"ENSG00000088320, NM_014012, REM, REM1"
2,3,66.7,1,100288711,DUX4L9,DUX4L9
2,33,6.1,4,83447,SLC25A31,"DKFZP434N1235, ENSG00000151475, NM_031291, SLC25A31"
2,5,40,1,158696,LINC00889,FLJ30672
2,9,22.2,2,133874,C5orf58,"LOC133874, NM_001102609, XM_059672"
2,6,33.3,2,152663,RPL7AP27,LOC152663
2,31,6.5,2,56157,TEX13A,"ENSG00000133149, NM_031274, TEX13A"
2,26,7.7,2,84984,CEP19,"C3orf34, ENSG00000174007, MGC14126, NM_032898"
2,2,100,2,7418,VDAC1P4,vdac4
2,3,66.7,2,442160,RPL21P62,LOC442160
2,5,40,2,,,LOC390570
2,28,7.1,3,92565,FANK1,"CR627249, FANK1, NM_145235"
2,4,50,2,647219,ASCL5,ASCL5
2,25,8,2,222696,ZSCAN23,"7580, ENSG00000187987, XM_167147, ZNF32, ZNF390, ZSCAN23"
2,13,15.4,2,201140,DHRS7C,"DHRS7C, ENSG00000184544, LOC201140, XM_938490"
2,28,7.1,4,7772,ZNF229,"XM_172230, XM_371175, ZNF229"
2,36,5.6,2,829,CAPZA1,"CAPZA1, CYP3A7, ENSG00000116489, NM_006135"
2,14,14.3,7,155006,TMEM213,"LOC155006, TMEM213, XM_376677"
2,3,66.7,1,9383,TSIX,TSIX
2,29,6.9,2,85013,TMEM128,"ENSG00000132406, MGC13159, NM_032927, TMEM128"
2,31,6.5,2,51475,CABP2,"CABP2, ENSG00000167791, NM_016366"
2,31,6.5,2,125228,FAM210A,"C18ORF19, C18orf19, ENSG00000177150, NM_152352"
2,4,50,1,402152,RPL7L1P8,"LOC402152, RPL7L1P8"
2,28,7.1,2,171169,SPACA4,"ENSG00000177202, NM_133498, SPACA4"
2,34,5.9,2,26136,TES,"ENSG00000135269, NM_015641, TES"
2,12,16.7,2,339291,LRRC30,"LOC339291, LRRC30, XM_292678"
2,6,33.3,1,,,ENPP3
2,3,66.7,1,,,LOC100506888
2,17,11.8,1,150223,YDJC,"ENSG00000161179, LOC150223, XM_097886, YDJC"
2,36,5.6,2,909,CD1A,"CD1A, CDH1, ENSG00000158477, NM_001763, NM_001763.2"
2,10,20,1,548594,KIR3DP1,"768329, KIR3DP1"
2,4,50,2,730222,LOC730222,LOC730222
2,17,11.8,1,414325,DEFB103A,"55894, DEFB103A, DEFB103B, NM_018661"
2,32,6.2,2,29893,PSMC3IP,"ENSG00000131470, HUMGT198A, NM_013290, NM_016556, PSMC3IP"
