Gene,Title,Provider_institution,Description,PI,Authors,Assay_ID,Data_Format,Data_Repository,Data_Link,Endpoint,Endpoint_detection,Release_Date,Repository,Dataset_ID,Status_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_tracer,Link_Milestone_NanoBRET_assay,Status_Milestone_NanoBRET_assay
CSNK2A2,NanoLuc®-fused CSNK2A2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435653,Fold Change,Fluorescence Intensity,,Synapse,syn18435653,Complete,https://www.synapse.org/#!Synapse:syn18435653,https://www.synapse.org/#!Synapse:syn18435653,Complete
DYRK2,NanoLuc®-fused DYRK2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435651,Fold Change,Fluorescence Intensity,,Synapse,syn18435651,Complete,https://www.synapse.org/#!Synapse:syn18435651,https://www.synapse.org/#!Synapse:syn18435651,Complete
LTK,NanoLuc®-fused LTK,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435650,Fold Change,Fluorescence Intensity,,Synapse,syn18435650,Complete,https://www.synapse.org/#!Synapse:syn18435650,https://www.synapse.org/#!Synapse:syn18435650,Complete
BRSK2,NanoLuc®-fused BRSK2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435656,Fold Change,Fluorescence Intensity,,Synapse,syn18435656,Complete,https://www.synapse.org/#!Synapse:syn18435656,https://www.synapse.org/#!Synapse:syn18435656,Complete
CDK15,NanoLuc®-fused CDK15,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435659,Fold Change,Fluorescence Intensity,,Synapse,syn18435659,Complete,https://www.synapse.org/#!Synapse:syn18435659,https://www.synapse.org/#!Synapse:syn18435659,Complete
CDK20,NanoLuc®-fused CDK20,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435640,Fold Change,Fluorescence Intensity,,Synapse,syn18435640,Complete,https://www.synapse.org/#!Synapse:syn18435640,https://www.synapse.org/#!Synapse:syn18435640,Complete
CDKL1,NanoLuc®-fused CDKL1,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435658,Fold Change,Fluorescence Intensity,,Synapse,syn18435658,Complete,https://www.synapse.org/#!Synapse:syn18435658,https://www.synapse.org/#!Synapse:syn18435658,Complete
CDKL2,NanoLuc®-fused CDKL2,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435657,Fold Change,Fluorescence Intensity,,Synapse,syn18435657,Complete,https://www.synapse.org/#!Synapse:syn18435657,https://www.synapse.org/#!Synapse:syn18435657,Complete
CDKL3,NanoLuc®-fused CDKL3,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435646,Fold Change,Fluorescence Intensity,,Synapse,syn18435646,Complete,https://www.synapse.org/#!Synapse:syn18435646,https://www.synapse.org/#!Synapse:syn18435646,Complete
CDKL5,NanoLuc®-fused CDKL5,UNC-CH,NanoBRET Assay Tracer Titration,Tim Willson,Julie Pickett,BAO_0010069,PDF,Synapse,https://www.synapse.org/#!Synapse:syn18435645,Fold Change,Fluorescence Intensity,,Synapse,syn18435645,Complete,https://www.synapse.org/#!Synapse:syn18435645,https://www.synapse.org/#!Synapse:syn18435645,Complete
